Forecast Day,Quantile,Hidden,Hospital,Fatality,Mild,Cases
Mar-26,0.05,2007,339,5,1539,2136
Mar-26,0.5,2229,369,11,1612,2156
Mar-26,0.95,2410,400,19,1662,2175
Mar-27,0.05,2239,419,9,1874,2625
Mar-27,0.5,2492,459,16,1985,2687
Mar-27,0.95,2718,496,25,2064,2749
Mar-28,0.05,2473,509,15,2227,3212
Mar-28,0.5,2743,560,23,2376,3321
Mar-28,0.95,3029,603,34,2494,3435
Mar-29,0.05,2654,609,24,2554,3830
Mar-29,0.5,3039,667,34,2756,4014
Mar-29,0.95,3368,720,46,2914,4186
Mar-30,0.05,2938,713,37,2927,4530
Mar-30,0.5,3373,785,50,3183,4784
Mar-30,0.95,3768,847,62,3394,5013
Mar-31,0.05,3242,819,54,3315,5306
Mar-31,0.5,3783,907,69,3618,5631
Mar-31,0.95,4222,982,83,3877,5944
Apr-1,0.05,3586,933,77,3733,6150
Apr-1,0.5,4254,1036,94,4096,6568
Apr-1,0.95,4729,1126,109,4446,7009
Apr-2,0.05,3967,1054,105,4136,7042
Apr-2,0.5,4819,1174,123,4606,7623
Apr-2,0.95,5397,1290,142,5032,8178
Apr-3,0.05,4518,1184,135,4581,8033
Apr-3,0.5,5446,1327,158,5173,8806
Apr-3,0.95,6124,1454,178,5670,9469
Apr-4,0.05,5104,1307,171,5051,9133
Apr-4,0.5,6221,1492,199,5789,10142
Apr-4,0.95,7075,1651,223,6400,10951
Apr-5,0.05,5788,1455,216,5632,10388
Apr-5,0.5,7081,1669,245,6500,11655
Apr-5,0.95,8127,1864,268,7206,12701
Apr-6,0.05,6642,1624,264,6266,11835
Apr-6,0.5,8086,1879,296,7343,13382
Apr-6,0.95,9385,2114,326,8139,14524
Apr-7,0.05,7241,1804,316,6984,13513
Apr-7,0.5,8937,2121,353,8290,15392
Apr-7,0.95,10338,2394,389,9250,16779
Apr-8,0.05,7501,2020,377,7846,15295
Apr-8,0.5,9321,2399,415,9377,17694
Apr-8,0.95,10931,2684,459,10516,19290
Apr-9,0.05,7562,2254,442,8754,17376
Apr-9,0.5,9371,2707,488,10588,20208
Apr-9,0.95,11010,3026,539,11981,22183
Apr-10,0.05,7371,2488,510,9675,19483
Apr-10,0.5,9211,3013,567,11745,22836
Apr-10,0.95,10681,3421,627,13444,25317
Apr-11,0.05,7128,2720,585,10539,21594
Apr-11,0.5,8955,3297,658,12858,25498
Apr-11,0.95,10489,3790,729,14718,28631
Apr-12,0.05,6797,2932,672,11235,23700
Apr-12,0.5,8589,3559,756,13744,28032
Apr-12,0.95,10139,4085,841,15842,31652
Apr-13,0.05,6505,3094,771,11654,25711
Apr-13,0.5,8285,3785,872,14418,30559
Apr-13,0.95,9822,4360,969,16755,34307
Apr-14,0.05,6298,3226,881,12063,27714
Apr-14,0.5,8033,3956,997,14945,33008
Apr-14,0.95,9432,4574,1102,17286,37068
Apr-15,0.05,6026,3316,995,12279,29544
Apr-15,0.5,7752,4103,1134,15273,35264
Apr-15,0.95,9161,4770,1266,17704,39813
Apr-16,0.05,5818,3384,1115,12438,31335
Apr-16,0.5,7423,4209,1282,15466,37493
Apr-16,0.95,8861,4884,1427,17970,42448
Apr-17,0.05,5655,3401,1246,12401,33035
Apr-17,0.5,7192,4259,1445,15551,39726
Apr-17,0.95,8562,4965,1622,18074,44982
Apr-18,0.05,5492,3427,1391,12258,34706
Apr-18,0.5,6962,4283,1608,15459,41920
Apr-18,0.95,8304,5015,1806,18110,47446
Apr-19,0.05,5254,3391,1517,12030,36318
Apr-19,0.5,6744,4251,1778,15277,43963
Apr-19,0.95,8049,5003,2008,18000,49829
Apr-20,0.05,5060,3328,1656,11842,37831
Apr-20,0.5,6541,4214,1954,14991,45924
Apr-20,0.95,7851,4970,2207,17694,52085
Apr-21,0.05,4909,3263,1794,11512,39434
Apr-21,0.5,6361,4146,2130,14651,47832
Apr-21,0.95,7584,4904,2414,17335,54438
Apr-22,0.05,4751,3198,1927,11227,41021
Apr-22,0.5,6160,4058,2292,14256,49714
Apr-22,0.95,7312,4784,2609,16880,56653
Apr-23,0.05,4611,3108,2071,10992,42290
Apr-23,0.5,5973,3928,2464,13845,51511
Apr-23,0.95,7242,4625,2809,16465,58762
Apr-24,0.05,4515,3015,2194,10640,43624
Apr-24,0.5,5780,3822,2630,13459,53178
Apr-24,0.95,6954,4511,2997,16035,60797
Apr-25,0.05,4346,2902,2324,10253,44962
Apr-25,0.5,5610,3713,2786,13133,54884
Apr-25,0.95,6755,4387,3187,15636,62794
Apr-26,0.05,4200,2801,2457,9870,46238
Apr-26,0.5,5462,3600,2937,12738,56566
Apr-26,0.95,6604,4297,3374,15179,64689
Apr-27,0.05,4033,2701,2563,9601,47533
Apr-27,0.5,5308,3479,3097,12381,58122
Apr-27,0.95,6432,4128,3553,14689,66463
Apr-28,0.05,3927,2620,2672,9326,48472
Apr-28,0.5,5167,3391,3245,11981,59518
Apr-28,0.95,6309,4001,3731,14412,68258
Apr-29,0.05,3804,2530,2765,9083,49675
Apr-29,0.5,5010,3267,3387,11608,61036
Apr-29,0.95,6082,3907,3879,13993,70204
Apr-30,0.05,3683,2446,2868,8791,50811
Apr-30,0.5,4900,3172,3527,11295,62432
Apr-30,0.95,6000,3772,4054,13551,71733
May-1,0.05,3568,2365,2980,8460,51927
May-1,0.5,4757,3065,3663,10954,63808
May-1,0.95,5734,3662,4206,13023,73459
May-2,0.05,3420,2291,3072,8196,52894
May-2,0.5,4628,2968,3776,10653,65159
May-2,0.95,5612,3562,4351,12857,75190
May-3,0.05,3335,2220,3162,7905,53855
May-3,0.5,4485,2889,3892,10342,66463
May-3,0.95,5485,3489,4504,12452,76810
May-4,0.05,3215,2165,3259,7640,54952
May-4,0.5,4351,2799,4014,10015,67712
May-4,0.95,5372,3398,4653,12201,78212
May-5,0.05,3141,2086,3352,7413,55987
May-5,0.5,4241,2728,4133,9726,69035
May-5,0.95,5272,3332,4783,11774,79832
May-6,0.05,3056,2029,3432,7218,56845
May-6,0.5,4148,2655,4248,9478,70281
May-6,0.95,5133,3251,4918,11381,81325
May-7,0.05,3007,1963,3517,6978,57602
May-7,0.5,4041,2576,4358,9184,71529
May-7,0.95,4937,3146,5061,11069,82804
May-8,0.05,2922,1904,3595,6748,58548
May-8,0.5,3934,2508,4460,8935,72681
May-8,0.95,4906,3071,5194,10786,84273
May-9,0.05,2841,1838,3677,6566,59468
May-9,0.5,3851,2440,4554,8698,73930
May-9,0.95,4754,2981,5311,10531,85628
May-10,0.05,2752,1795,3740,6363,60391
May-10,0.5,3740,2366,4659,8472,75072
May-10,0.95,4633,2925,5438,10197,86946
May-11,0.05,2715,1743,3848,6160,61269
May-11,0.5,3639,2307,4753,8241,76065
May-11,0.95,4577,2833,5561,9941,88081
May-12,0.05,2635,1684,3902,5981,62132
May-12,0.5,3546,2248,4849,8068,77172
May-12,0.95,4511,2768,5682,9849,89487
May-13,0.05,2559,1622,3980,5779,62960
May-13,0.5,3464,2185,4943,7798,78214
May-13,0.95,4371,2697,5768,9536,90704
May-14,0.05,2478,1584,4049,5622,63839
May-14,0.5,3374,2131,5020,7629,79280
May-14,0.95,4265,2628,5890,9322,91913
May-15,0.05,2386,1552,4121,5495,64640
May-15,0.5,3292,2079,5121,7414,80270
May-15,0.95,4130,2565,6010,9106,93080
May-16,0.05,2309,1512,4183,5344,65416
May-16,0.5,3189,2021,5193,7222,81193
May-16,0.95,4021,2529,6113,8939,94146
May-17,0.05,2251,1462,4250,5206,66063
May-17,0.5,3098,1972,5266,7028,82122
May-17,0.95,3888,2465,6197,8803,95223
May-18,0.05,2166,1424,4316,5055,66653
May-18,0.5,3029,1915,5352,6832,83125
May-18,0.95,3786,2407,6295,8608,96283
May-19,0.05,2127,1393,4350,4903,67294
May-19,0.5,2944,1871,5444,6672,83927
May-19,0.95,3685,2354,6414,8384,97132
May-20,0.05,2053,1341,4405,4771,68065
May-20,0.5,2853,1823,5527,6498,84797
May-20,0.95,3608,2285,6500,8236,98399
May-21,0.05,1996,1312,4471,4650,68583
May-21,0.5,2797,1774,5598,6336,85585
May-21,0.95,3532,2227,6602,8008,99316
May-22,0.05,1916,1279,4515,4500,69197
May-22,0.5,2709,1728,5670,6165,86468
May-22,0.95,3460,2157,6699,7820,100210
May-23,0.05,1904,1236,4588,4355,69814
May-23,0.5,2659,1687,5734,6008,87321
May-23,0.95,3415,2101,6778,7596,101238
May-24,0.05,1864,1201,4634,4203,70427
May-24,0.5,2575,1649,5804,5847,88056
May-24,0.95,3295,2052,6860,7407,102084
May-25,0.05,1816,1179,4683,4083,70738
May-25,0.5,2511,1605,5873,5703,88857
May-25,0.95,3255,2001,6950,7268,102906
May-26,0.05,1760,1130,4713,4011,71295
May-26,0.5,2453,1559,5947,5554,89550
May-26,0.95,3119,1958,7047,7045,104927
May-27,0.05,1730,1106,4780,3910,71877
May-27,0.5,2379,1519,6017,5402,90241
May-27,0.95,3104,1910,7094,6848,105710
May-28,0.05,1667,1073,4804,3809,72419
May-28,0.5,2317,1475,6083,5256,90907
May-28,0.95,3013,1867,7185,6652,107046
May-29,0.05,1611,1046,4848,3701,73197
May-29,0.5,2261,1437,6132,5116,91429
May-29,0.95,2944,1835,7250,6570,107769
May-30,0.05,1565,1013,4896,3563,73793
May-30,0.5,2200,1400,6188,4971,92048
May-30,0.95,2876,1784,7339,6294,108490
May-31,0.05,1493,989,4944,3528,74240
May-31,0.5,2156,1364,6232,4843,92612
May-31,0.95,2828,1725,7349,6134,109159
Jun-1,0.05,1465,951,4997,3392,74664
Jun-1,0.5,2103,1330,6297,4724,93174
Jun-1,0.95,2762,1684,7449,6070,109844
Jun-2,0.05,1414,923,5033,3314,75067
Jun-2,0.5,2042,1300,6360,4617,93880
Jun-2,0.95,2686,1668,7521,5931,110953
Jun-3,0.05,1383,906,5076,3227,75440
Jun-3,0.5,1994,1266,6388,4479,94461
Jun-3,0.95,2582,1635,7550,5761,111441
Jun-4,0.05,1368,880,5116,3104,75851
Jun-4,0.5,1945,1239,6435,4358,95014
Jun-4,0.95,2554,1588,7649,5661,112965
Jun-5,0.05,1329,854,5157,3033,76208
Jun-5,0.5,1888,1205,6495,4265,95723
Jun-5,0.95,2510,1554,7653,5527,113598
Jun-6,0.05,1334,830,5198,2998,76569
Jun-6,0.5,1835,1170,6539,4154,96209
Jun-6,0.95,2445,1513,7762,5450,114193
Jun-7,0.05,1263,813,5225,2879,76870
Jun-7,0.5,1803,1140,6606,4026,96601
Jun-7,0.95,2393,1486,7841,5273,114553
Jun-8,0.05,1250,788,5263,2745,77218
Jun-8,0.5,1755,1111,6644,3930,97206
Jun-8,0.95,2339,1451,7873,5149,115609
Jun-9,0.05,1207,775,5303,2709,77506
Jun-9,0.5,1705,1084,6691,3834,97622
Jun-9,0.95,2279,1426,7891,5019,116144
Jun-10,0.05,1191,749,5339,2682,77812
Jun-10,0.5,1667,1044,6734,3743,98043
Jun-10,0.95,2234,1388,7911,4938,116671
Jun-11,0.05,1145,728,5377,2622,78241
Jun-11,0.5,1620,1019,6780,3649,98447
Jun-11,0.95,2154,1351,7908,4820,117193
Jun-12,0.05,1083,713,5408,2560,78547
Jun-12,0.5,1584,997,6822,3553,98873
Jun-12,0.95,2117,1296,8060,4765,118003
Jun-13,0.05,1093,698,5435,2499,78808
Jun-13,0.5,1523,972,6860,3482,99229
Jun-13,0.95,2088,1279,8143,4658,118314
Jun-14,0.05,1074,663,5475,2390,79295
Jun-14,0.5,1488,949,6902,3378,99688
Jun-14,0.95,2031,1248,8246,4532,119290
Jun-15,0.05,976,654,5501,2293,79525
Jun-15,0.5,1460,932,6939,3299,100123
Jun-15,0.95,1996,1203,8266,4413,119036
Jun-16,0.05,946,639,5528,2271,79812
Jun-16,0.5,1430,902,6972,3197,100696
Jun-16,0.95,1956,1190,8286,4279,120021
Jun-17,0.05,937,608,5556,2161,80033
Jun-17,0.5,1409,876,7008,3118,101031
Jun-17,0.95,1903,1163,8388,4177,120463
Jun-18,0.05,905,606,5582,2112,80270
Jun-18,0.5,1374,854,7046,3036,101385
Jun-18,0.95,1898,1128,8389,4071,120916
Jun-19,0.05,852,586,5616,2079,80539
Jun-19,0.5,1339,839,7081,2943,101760
Jun-19,0.95,1822,1115,8446,3988,121380
Jun-20,0.05,830,568,5636,1945,80789
Jun-20,0.5,1301,820,7118,2862,102111
Jun-20,0.95,1778,1080,8513,3883,122075
Jun-21,0.05,824,538,5664,1891,81028
Jun-21,0.5,1255,799,7144,2808,102567
Jun-21,0.95,1740,1063,8552,3826,122706
Jun-22,0.05,799,525,5679,1831,81282
Jun-22,0.5,1232,780,7170,2749,102774
Jun-22,0.95,1700,1042,8586,3719,123120
Jun-23,0.05,779,509,5712,1772,81530
Jun-23,0.5,1207,758,7215,2699,103097
Jun-23,0.95,1663,1004,8629,3631,123514
Jun-24,0.05,760,496,5728,1713,81782
Jun-24,0.5,1175,740,7234,2623,103563
Jun-24,0.95,1628,989,8641,3527,123927
Jun-25,0.05,733,481,5748,1676,82030
Jun-25,0.5,1155,725,7262,2571,104020
Jun-25,0.95,1589,974,8676,3441,124335
Jun-26,0.05,713,467,5765,1645,82249
Jun-26,0.5,1124,701,7295,2501,104289
Jun-26,0.95,1521,948,8708,3384,124297
Jun-27,0.05,691,454,5793,1625,82516
Jun-27,0.5,1106,688,7323,2420,104808
Jun-27,0.95,1534,932,8761,3340,125164
Jun-28,0.05,680,447,5806,1583,82565
Jun-28,0.5,1069,670,7349,2372,105103
Jun-28,0.95,1492,907,8808,3285,125511
Jun-29,0.05,648,441,5822,1533,82794
Jun-29,0.5,1044,654,7383,2311,105403
Jun-29,0.95,1457,889,8792,3180,125875
Jun-30,0.05,616,413,5848,1488,82998
Jun-30,0.5,1014,641,7402,2246,105797
Jun-30,0.95,1430,862,8871,3136,126210
Jul-1,0.05,606,409,5868,1450,83215
Jul-1,0.5,997,613,7437,2199,106100
Jul-1,0.95,1390,845,8906,3039,126567
Jul-2,0.05,585,399,5880,1395,83396
Jul-2,0.5,982,599,7457,2151,106298
Jul-2,0.95,1354,829,8933,2978,126419
Jul-3,0.05,553,376,5896,1363,83594
Jul-3,0.5,954,589,7490,2099,106549
Jul-3,0.95,1329,817,8960,2911,126946
Jul-4,0.05,549,366,5910,1328,83816
Jul-4,0.5,931,576,7506,2041,106864
Jul-4,0.95,1271,805,8945,2856,127682
Jul-5,0.05,534,354,5929,1281,84017
Jul-5,0.5,912,562,7536,1997,107118
Jul-5,0.95,1271,782,9018,2785,127983
Jul-6,0.05,515,332,5946,1239,84192
Jul-6,0.5,886,553,7544,1957,107353
Jul-6,0.95,1228,761,9040,2719,128273
Jul-7,0.05,499,320,5962,1204,84556
Jul-7,0.5,858,538,7566,1908,107589
Jul-7,0.95,1202,743,9067,2676,128569
Jul-8,0.05,478,314,5975,1162,84715
Jul-8,0.5,839,530,7584,1869,107803
Jul-8,0.95,1172,730,9090,2610,129185
Jul-9,0.05,468,314,5989,1130,84850
Jul-9,0.5,810,513,7601,1843,107935
Jul-9,0.95,1152,707,9109,2565,129061
Jul-10,0.05,456,307,5990,1079,85022
Jul-10,0.5,796,499,7621,1793,108215
Jul-10,0.95,1143,691,9156,2491,129744
Jul-11,0.05,458,301,6004,1047,85169
Jul-11,0.5,772,486,7651,1744,108431
Jul-11,0.95,1098,683,9199,2401,130022
Jul-12,0.05,439,293,6018,1005,85315
Jul-12,0.5,754,475,7666,1696,108637
Jul-12,0.95,1081,655,9245,2346,130115
Jul-13,0.05,427,285,6028,982,85458
Jul-13,0.5,740,461,7682,1656,108731
Jul-13,0.95,1052,649,9266,2295,130379
Jul-14,0.05,412,267,6043,958,85599
Jul-14,0.5,716,449,7710,1619,108931
Jul-14,0.95,1035,629,9286,2256,130635
