Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,Mar-27,Mar-28,Mar-29,Mar-30,Mar-31,Apr-1,Apr-2,Apr-3,Apr-4,Apr-5,Apr-6,Apr-7,Apr-8,Apr-9,Apr-10,Apr-11,Apr-12,Apr-13,Apr-14,Apr-15,Apr-16,Apr-17,Apr-18,Apr-19,Apr-20,Apr-21,Apr-22,Apr-23,Apr-24,Apr-25,Apr-26,Apr-27,Apr-28,Apr-29,Apr-30,May-01,May-02,May-03,May-04,May-05,May-06,May-07,May-08,May-09,May-10,May-11,May-12,May-13,May-14,May-15,May-16,May-17,May-18,May-19,May-20,May-21,May-22,May-23,May-24
0,0,0,0,0,1,0,1,2,2,2,5,14,16,24,39,41,49,61,72,85,89,95,100,107,118,117,128,135,138,143,148,155,160,170,173,177,181,187,192,196,203,217,225,226,231,237,252,257,260,263,269,273,275,278,285,289,294,294,296,297,302,302,304,304,308,308,308,309,310,310,312,313
0,1,1,1,2,2,0,9,11,24,30,40,51,67,100,133,148,173,191,255,283,314,330,347,383,405,423,444,464,480,501,502,514,530,550,573,590,632,664,672,678,708,747,756,772,798,820,842,860,902,937,946,961,969,997,1021,1038,1056,1068,1075,1093,1111,1119,1137,1147,1150,1155,1177,1197,1202,1257,1264,1269
9,9,9,11,14,17,0,20,21,23,26,37,71,73,105,119,151,162,171,183,213,240,253,258,268,278,281,304,329,336,350,355,360,370,382,383,385,387,387,404,404,418,425,425,428,428,430,440,442,444,448,451,453,457,461,464,472,472,475,478,485,486,488,491,495,497,497,497,500,509,510,515,520
0,1,1,2,5,5,0,6,14,24,25,31,67,90,129,179,208,263,306,366,424,517,601,659,722,768,835,994,1086,1191,1327,1394,1435,1508,1605,1659,1698,1731,1779,1852,1908,2181,2697,2829,2923,3068,3270,3429,3580,3792,3916,4019,4103,4235,4380,4529,4670,4847,4931,4999,5125,5249,5440,5590,5748,5870,5996,6080,6165,6286,6362,6426,6596
0,0,0,0,0,0,0,2,2,4,6,8,11,17,20,30,37,46,69,81,102,114,125,128,147,158,164,177,194,204,219,224,233,239,248,258,306,317,332,337,345,367,396,412,427,443,509,531,546,518,549,559,563,575,580,595,654,659,676,688,702,708,724,738,751,767,774,780,792,806,812,819,830
2,5,6,8,8,14,0,29,41,60,73,118,177,247,350,472,570,653,784,885,1039,1238,1400,1506,1653,1841,2103,2336,2670,2896,3170,3413,3594,3894,4245,4584,4914,5153,5296,5521,5783,6219,6841,7212,7489,7708,7972,8380,8673,9028,9362,9542,9773,9979,10344,10610,10995,11211,11353,11432,11572,11703,11950,12131,12314,12462,12587,12748,12920,13063,13221,13334,13457
0,0,1,3,5,5,0,11,20,25,32,64,101,138,187,272,325,380,459,561,621,745,898,963,1067,1194,1327,1507,1677,1809,2024,2141,2207,2308,2466,2577,2688,2832,2976,3043,3253,3529,4160,4380,4495,4607,4744,4871,5083,5259,5409,5507,5602,5736,5899,6081,6194,6311,6382,6457,6507,6592,6774,6875,6987,7064,7139,7198,7280,7366,7424,7480,7559
0,0,1,1,1,2,0,3,9,12,15,24,45,55,90,183,201,255,354,475,546,661,733,768,889,997,1081,1276,1394,1545,1647,1694,1798,1885,1985,2134,2254,2337,2438,2533,2678,2836,3060,3229,3295,3381,3546,3698,3777,3900,4003,4066,4114,4203,4321,4441,4522,4647,4714,4763,4831,4889,4974,5038,5133,5205,5264,5335,5418,5492,5568,5621,5687
26,27,31,36,42,51,0,86,108,126,154,234,342,448,631,843,940,1115,1373,1624,1896,2183,2429,2658,2929,3245,3600,4041,4534,4926,5359,5579,5872,6279,6820,7272,7696,8074,8314,8669,9060,9739,10724,11218,11543,11883,12140,12539,12890,13295,13606,13777,13941,14173,14476,14732,14944,15119,15279,15356,15454,15587,15881,15996,16346,16479,16671,16825,16962,17089,17180,17291,17417
2,2,6,6,8,10,0,19,24,37,42,73,129,166,219,291,337,390,433,563,667,825,915,978,1077,1172,1296,1461,1678,1822,2032,2128,2246,2350,2503,2765,2952,3069,3179,3341,3456,3798,4227,4460,4572,4744,4999,5300,5550,5787,6129,6288,6471,6597,6992,7197,7410,7611,7743,7818,7959,8241,8555,8786,9067,9252,9442,9582,9780,9997,10101,10251,10431
60,65,75,83,89,100,0,144,177,199,232,304,446,538,685,842,981,1141,1340,1582,1870,2202,2468,2632,2950,3187,3545,4045,4447,4872,5660,5983,6254,6681,7206,7744,8297,8737,9253,9621,10094,10724,11681,12253,12648,12953,13417,13799,14208,14607,15048,15370,15757,15980,16327,16676,17014,17307,17589,17774,17953,18201,18381,18683,18883,19129,19345,19504,19708,19930,20085,20232,20437
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,12,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,8,8,9,8,9,12,12,12,12,11,11,12,12,14,14,14,14,14,14,15,15,15,15,15,16,17,18,18,21,21,21,22,22,22,23,23,23,23,23,24,24,25,26,26,26,26,26,26,26,26
24,28,31,36,43,45,0,64,69,75,82,129,222,292,393,490,548,628,738,829,938,1045,1199,1271,1382,1592,1778,2007,2216,2395,2649,2838,2969,3122,3342,3499,3659,3789,3960,4062,4212,4541,4979,5172,5288,5398,5567,5700,5896,6065,6187,6280,6382,6466,6610,6729,6801,6887,6952,7004,7046,7129,7258,7331,7412,7474,7524,7565,7607,7691,7724,7759,7812
